z,P(Z≤z)_empirica,P(Z≤z)_teorica,error_absoluto
-2.4700000000000304,0.00689,0.006755652607140075,0.00013434739285992509
-2.4600000000000306,0.007082,0.006946850788623722,0.0001351492113762778
-2.450000000000031,0.007278,0.007142810735270806,0.0001351892647291934
-2.440000000000031,0.007483,0.0073436309553477136,0.0001393690446522865
-2.4300000000000312,0.007666,0.007549411416308552,0.00011658858369144841
-2.4200000000000315,0.007889,0.007760253550552967,0.0001287464494470333
-2.4100000000000317,0.008121,0.007976260260733036,0.00014473973926696325
-2.400000000000032,0.008336,0.008197535924595415,0.00013846407540458495
-2.390000000000032,0.008567,0.008424186399344953,0.00014281360065504685
-2.3800000000000323,0.008818,0.008656319025515785,0.00016168097448421466
-2.3700000000000325,0.009061,0.008894042630335988,0.00016695736966401177
-2.3600000000000327,0.009289,0.009137467530571866,0.00015153246942813461
-2.350000000000033,0.00955,0.00938670553483774,0.000163294465162259
-2.340000000000033,0.009774,0.009641869945357472,0.00013213005464252775
-2.3300000000000334,0.010004,0.009903075559163364,0.00010092444083663679
-2.3200000000000336,0.010286,0.010170438668718761,0.00011556133128123869
-2.310000000000034,0.01059,0.01044407706195015,0.00014592293804985106
-2.300000000000034,0.010867,0.010724110021674836,0.00014288997832516415
-2.2900000000000342,0.011161,0.011010658324410389,0.00015034167558961205
-2.2800000000000344,0.011438,0.011303844238551767,0.00013415576144823298
-2.2700000000000347,0.01174,0.011603791521902475,0.00013620847809752562
-2.260000000000035,0.012045,0.011910625418545978,0.0001343745814540217
-2.250000000000035,0.012366,0.012224472655043592,0.00014152734495640786
-2.2400000000000353,0.012722,0.012545461435945421,0.00017653856405457947
-2.2300000000000355,0.013015,0.01287372143860084,0.0001412785613991597
-2.2200000000000357,0.013347,0.013209383807255058,0.00013761619274494166
-2.210000000000036,0.013707,0.013552581146418724,0.00015441885358127676
-2.200000000000036,0.014039,0.013903447513497329,0.00013555248650267034
-2.1900000000000364,0.014394,0.014262118410667553,0.00013188158933244779
-2.1800000000000366,0.014772,0.014628730775987898,0.00014326922401210196
-2.170000000000037,0.015174,0.015003422973730798,0.00017057702626920197
-2.160000000000037,0.015528,0.015386334783924007,0.00014166521607599306
-2.150000000000037,0.015918,0.015777607391089032,0.00014039260891096986
-2.1400000000000374,0.016321,0.016177383372164587,0.00014361662783541132
-2.1300000000000376,0.016738,0.016585806683603453,0.00015219331639654624
-2.120000000000038,0.017198,0.017003022647631195,0.0001949773523688067
-2.110000000000038,0.017645,0.01742917793765544,0.000215822062344561
-2.1000000000000383,0.018097,0.01786442056281486,0.0002325794371851389
-2.0900000000000385,0.018546,0.01830889985165723,0.00023710014834276913
-2.0800000000000387,0.01899,0.01876276643493598,0.00022723356506402018
-2.070000000000039,0.019509,0.019226172227515458,0.000282827772484541
-2.060000000000039,0.020002,0.019699270409375018,0.00030272959062498106
-2.0500000000000393,0.020484,0.020182215405702468,0.0003017845942975307
-2.0400000000000396,0.020956,0.020675162866068082,0.0002808371339319167
-2.0300000000000398,0.021466,0.021178269642670243,0.000287730357329756
-2.02000000000004,0.021968,0.02169169376764471,0.0002763062323552917
-2.01000000000004,0.022474,0.022215594429429344,0.00025840557057065644
-2.0000000000000404,0.022994,0.022750131948177002,0.00024386805182299853
-1.9900000000000406,0.023537,0.023295467750209572,0.0002415322497904271
-1.9800000000000408,0.02407,0.023851764341506224,0.00021823565849377752
-1.970000000000041,0.024614,0.024419185280220183,0.0001948147197798171
-1.9600000000000413,0.025192,0.02499789514821802,0.00019410485178197878
-1.9500000000000415,0.025789,0.025588059521636137,0.00020094047836386256
-1.9400000000000417,0.026371,0.026189844940450135,0.00018115505954986386
-1.930000000000042,0.026961,0.026803418877052357,0.00015758112294764204
-1.9200000000000421,0.027576,0.027428949703834152,0.00014705029616584805
-1.9100000000000423,0.028193,0.02806660665976978,0.00012639334023021795
-1.9000000000000425,0.028867,0.028716559815999004,0.00015044018400099668
-1.8900000000000428,0.029509,0.029378980040406556,0.00013001995959344495
-1.880000000000043,0.030196,0.03005403896119686,0.00014196103880314073
-1.8700000000000432,0.030895,0.030741908929462967,0.0001530910705370321
-1.8600000000000434,0.031563,0.03144276298074964,0.00012023701925036046
-1.8500000000000436,0.032294,0.032156774795610556,0.00013722520438944757
-1.8400000000000438,0.033028,0.032884118659160654,0.00014388134083934828
-1.830000000000044,0.033778,0.03362496941962503,0.0001530305803749757
-1.8200000000000442,0.034506,0.03437950244588663,0.0001264975541133695
-1.8100000000000445,0.035296,0.035147893584035354,0.0001481064159646467
-1.8000000000000447,0.036087,0.03593031911292227,0.00015668088707773004
-1.7900000000000449,0.036926,0.036726955698722676,0.00019904430127732492
-1.780000000000045,0.037733,0.0375379803485131,0.00019501965148690376
-1.7700000000000453,0.038524,0.03836357036286746,0.00016042963713254477
-1.7600000000000455,0.039413,0.039203903287478796,0.00020909671252120066
-1.7500000000000457,0.040292,0.040059156863813145,0.00023284313618685687
-1.740000000000046,0.041196,0.040929508978803326,0.000266491021196677
-1.7300000000000462,0.042069,0.04181513761359081,0.0002538623864091899
-1.7200000000000464,0.042939,0.042716220791324734,0.0002227792086752639
-1.7100000000000466,0.043817,0.04363293652402758,0.0001840634759724194
-1.7000000000000468,0.044721,0.04456546275853864,0.0001555372414613551
-1.690000000000047,0.045645,0.0455139773215453,0.00013102267845469667
-1.6800000000000472,0.046642,0.046478657863715425,0.00016334213628457772
-1.6700000000000474,0.047653,0.04745968180294262,0.00019331819705738218
-1.6600000000000477,0.048694,0.04845722626671803,0.0002367737332819725
-1.6500000000000479,0.049721,0.0494714680336432,0.00024953196635680436
-1.640000000000048,0.050659,0.05050258347409871,0.00015641652590129423
-1.6300000000000483,0.051678,0.05155074849008425,0.00012725150991575035
-1.6200000000000485,0.05278,0.05261613845424683,0.00016386154575317308
-1.6100000000000487,0.053903,0.053698928148114396,0.00020407185188560384
-1.600000000000049,0.054967,0.05479929169955257,0.00016770830044743334
-1.5900000000000492,0.056048,0.05591740251946391,0.0001305974805360932
-1.5800000000000494,0.057178,0.05705343323774855,0.00012456676225144903
-1.5700000000000496,0.05835,0.05820755563854723,0.000142444361452769
-1.5600000000000498,0.059458,0.059379940594787115,7.805940521288246e-05
-1.55000000000005,0.060579,0.06057075800205302,8.241997946981106e-06
-1.5400000000000502,0.061808,0.06178017671180577,2.7823288194228635e-05
-1.5300000000000504,0.063051,0.06300836446397219,4.263553602780468e-05
-1.5200000000000506,0.064243,0.06425548781892947,1.2487818929471373e-05
-1.5100000000000509,0.065533,0.06552171208891001,1.1287911089979952e-05
-1.500000000000051,0.066804,0.06680720126885147,3.2012688514632126e-06
-1.4900000000000513,0.068137,0.06811211796671872,2.4882033281284355e-05
-1.4800000000000515,0.069483,0.06943662333332484,4.637666667516027e-05
-1.4700000000000517,0.070797,0.07078087699167852,1.6123008321475285e-05
-1.460000000000052,0.072192,0.07214503696588664,4.6963034113362e-05
-1.4500000000000521,0.073564,0.07352925960964109,3.4740390358917184e-05
-1.4400000000000523,0.074976,0.07493369953431965,4.230046568035051e-05
-1.4300000000000526,0.076399,0.07635850953673154,4.049046326845551e-05
-1.4200000000000528,0.077787,0.0778038405265387,1.6840526538705602e-05
-1.410000000000053,0.079219,0.07926984145338462,5.084145338461743e-05
-1.4000000000000532,0.080716,0.08075665923376313,4.0659233763132296e-05
-1.3900000000000534,0.082265,0.08226443867766087,5.613223391376376e-07
-1.3800000000000536,0.083895,0.08379332241500603,0.0001016775849939644
-1.3700000000000538,0.085371,0.08534345082195854,2.754917804145829e-05
-1.360000000000054,0.08699,0.08691496194707643,7.50380529235678e-05
-1.3500000000000543,0.088557,0.08850799143739335,4.900856260664499e-05
-1.3400000000000545,0.090199,0.09012267246444361,7.632753555639193e-05
-1.3300000000000547,0.091822,0.09175913565027183,6.286434972817279e-05
-1.320000000000055,0.093405,0.09341750899346263,1.2508993462626017e-05
-1.3100000000000551,0.095142,0.09509791779522969,4.408220477031266e-05
-1.3000000000000553,0.096828,0.09680048458560092,2.7515414399076343e-05
-1.2900000000000555,0.098611,0.09852532904973815,8.567095026185134e-05
-1.2800000000000558,0.100385,0.10027256795443235,0.0001124320455676564
